DP;Departamento;MPIO;Municipio;Superficie;PopTot;Rural;Region
5;   Ant%ioquia   ;5659;   San   Juan   d?e*   Urabá;261,5254154;21853;61,3;Región Eje Cafetero 
5;   Antioq>Uia;5660;Sa'n?   Lu*&is;409,3577462;13893;36,5;Región Eje Cafetero 
5;   Antioquia;5664; San!* Ped#ro;229,4716133;23751;39,9;Región Eje Cafetero 
5;Ant%io>quia;5665;S'an Pedro de Uraba;569,0047744;33393;52,8;Región Eje Cafetero 
5;   AntioqUia;5667;San! ? # &Rafael;332,6564894;16753;45;Región Eje Cafetero 
5;   AntioqUia;5670;S#an R?oq'ue ;427,3485569;23105;63,2;Región Eje Cafetero 
5;AntioqUia   ;5674;San'*  # Vi!cente;240,1110177;23714;68,4;Región Eje Cafetero 
5; Ant%ioqUia;5679; Sa!nta B#ár'bara ;211,201637;28051;48,9;Región Eje Cafetero 
5; Ant%ioqUia ;5686; Sa#nta R?osa d*e Osos;938,5400875;39340;39,6;Región Eje Cafetero 
5;Antioquia;5690;   Santo&   Domingo   ;248,7308;13163;71,9;Región Eje Cafetero 
5;Antioq>Uia;5697;El  ! Santuar?io   ;75,78620955;38386;25,3;Región Eje Cafetero 
5; Ant%io>quia ;5736;  * Segovia!'? &  ;1106,183453;41222;16,3;Región Eje Cafetero 
5;Ant%ioquia;5756;  & Son?són   ;1474,651437;38784;47,6;Región Eje Cafetero 
5;Antioq>uia   ;5761;   #*Sopet!rá'n   ;210,5968624;16200;51,4;Región Eje Cafetero 
5;Antioq>Uia ;5789;  # Tám?esis *  ;255,8668002;17270;49,2;Región Eje Cafetero 
5; Antioquia;5790;Tarazá ?  ;1047,139274;29306;47,6;Región Eje Cafetero 
5;   Ant%ioquia;5792;   Tarso;127,2413312;6593;40,3;Región Eje Cafetero 
5;Antioquia;5809; Ti&ti*#r?ibí;143,9869278;11457;50;Región Eje Cafetero 
5;AntioqUia ;5819;   'T#oledo   ;111,7279881;5296;60,1;Región Eje Cafetero 
5;Ant%io>quia;5837;Tur&b?o   ;2712,664238;135464;55,4;Región Eje Cafetero 
5;Ant%io>qUia;5842;   Urami#ta   ;262,7300022;7329;63,3;Región Eje Cafetero 
5;Ant%ioq>uia;5847;Urrao;2390,403917;32366;41,8;Región Eje Cafetero 
5; Ant%ioq>Uia ;5854;   V?!aldi&via   ;514,7229664;14823;67,3;Región Eje Cafetero 
5;Ant%ioquia;5856; V?a!l*paraíso ;124,8458806;6966;38,3;Región Eje Cafetero 
5; Ant%io>qUia;5858;   &#Vegach'í   ;509,4802515;12644;26,4;Región Eje Cafetero 
5;   AntioqUia   ;5861;   Ve?n&ecia;130,1463183;12407;50,3;Región Eje Cafetero 
5;   AntioqUia;5873;Vigía   del   F*?uerte #&  ;1511,326061;9827;60,4;Región Eje Cafetero 
5; Antioq>uia ;5885;  ' Yal#í   ;475,2326923;8152;47,6;Región Eje Cafetero 
5;   Antioquia   ;5887; *Yar'#umal;757,6912169;44770;25,5;Región Eje Cafetero 
5;Antioq>uia ;5890;   Yolomb*ó?   ;1070,55994;24178;64,9;Región Eje Cafetero 
5; AntioqUia;5893;Y*&o?ndó !#  ;1985,592088;20870;44,1;Región Eje Cafetero 
5;Antioq>uia;5895; Z?*a'r&agoza ;1277,442561;26392;49,1;Región Eje Cafetero 
8;Atl%án>tico   ;8001;Bar?r&#anquilla !  ;161,8725614;1342818;0;Región Caribe
8;Atlántico   ;8078;Ba&ranoa ;118,3118959;70200;16,7;Región Caribe
8; Atl%ántico ;8137;   Cam&po   de   L?a   Cru'z   ;92,2694351;25218;13,5;Región Caribe
8;Atl%ántico ;8141;Candelar!ia   ;147,6500906;17839;27,9;Región Caribe
8;Atlántico ;8296;Ga&#?lapa;90,79769003;69022;7,1;Región Caribe
8;Atlántico;8372;Juan de A'c?o!s#ta ;162,3371012;23730;36,7;Región Caribe
8; Atlánt>ico ;8421;Luruaco   ;204,3511088;31388;48,6;Región Caribe
8;Atl%ántico   ;8433;M!alambo '  ;103,4440765;144883;6,7;Región Caribe
8;   Atlántico   ;8436; Ma#natí;194,0607972;22014;12,1;Región Caribe
8; Atl%ánt>ico;8520;Pa#lmar de Varela ;90,93224675;32573;3,9;Región Caribe
8;Atl%ántico;8549;P'&i#!o*jó   ;240,4012555;7374;56,5;Región Caribe
8; Atlántico ;8558; P*ol&o?nue'vo ;79,57553737;20317;16,6;Región Caribe
8;Atl%ántico ;8560;  ? Ponedera;194,7581071;26872;42,3;Región Caribe
