DP;Departamento;MPIO;Municipio;Superficie;PopTot;Rural;Region
13;Bolívar;13670;San pablo de borbur;2150,42;29948;20,7;Región Caribe
13;Bolívar;13673;Santa catalina;175,19;16156;63,4;Región Caribe
13;Bolívar;13683;Santa rosa;155,07;23042;10;Región Caribe
13;Bolívar;13688;Santa rosa del sur;2336,32;36335;41,1;Región Caribe
13;Bolívar;13744;Simití;1337,24;20209;69,6;Región Caribe
13;Bolívar;13760;Soplaviento;84,23;11701;1,7;Región Caribe
13;Bolívar;13780;Talaigua nuevo;268,35;14092;54,4;Región Caribe
13;Bolívar;13810;Tiquisio;733,86;19763;68,4;Región Caribe
13;Bolívar;13836;Turbaco;200,26;116223;9;Región Caribe
13;Bolívar;13838;Turbaná;203,31;18037;26,6;Región Caribe
13;Bolívar;13873;Villanueva;132,12;26130;14,5;Región Caribe
13;Bolívar;13894;Zambrano;287,73;12970;13,9;Región Caribe
15;Boyacá;15001;Tunja;130,45;188945;4,1;Región Centro Oriente
15;Boyacá;15022;Almeida;52,81;2076;78,3;Región Centro Oriente
15;Boyacá;15047;Aquitania;967,7;16648;58,2;Región Centro Oriente
15;Boyacá;15051;Arcabuco;132,88;6392;55,8;Región Centro Oriente
15;Boyacá;15087;Belén;152,23;8070;36,4;Región Centro Oriente
15;Boyacá;15090;Berbeo;60,92;1703;69,1;Región Centro Oriente
15;Boyacá;15092;Betéitiva;93,44;2083;79,2;Región Centro Oriente
15;Boyacá;15097;Boavita;134;5487;49,6;Región Centro Oriente
15;Boyacá;15104;Boyacá;49,93;5504;80,9;Región Centro Oriente
15;Boyacá;15106;Briceño;67,72;2331;74,1;Región Centro Oriente
15;Boyacá;15109;Buena vista;119,99;4732;78,2;Región Centro Oriente
15;Boyacá;15114;Busbanzá;25,45;1219;57,4;Región Centro Oriente
15;Boyacá;15131;Caldas;77,22;3361;88;Región Centro Oriente
15;Boyacá;15135;Campohermoso;311,69;3320;70,5;Región Centro Oriente
15;Boyacá;15162;Cerinza;66,82;3991;51,8;Región Centro Oriente
15;Boyacá;15172;Chinavita;138,64;3436;58,1;Región Centro Oriente
15;Boyacá;15176;Chiquinquirá;169,73;61289;11,3;Región Centro Oriente
15;Boyacá;15180;Chiscas;689,47;4234;74,2;Región Centro Oriente
15;Boyacá;15183;Chita;739,36;8475;71,1;Región Centro Oriente
15;Boyacá;15185;Chitaraque;154,45;6306;75,8;Región Centro Oriente
15;Boyacá;15187;Chivatá;49,44;3012;79,3;Región Centro Oriente
15;Boyacá;15189;Ciénega;52,43;5007;69,6;Región Centro Oriente
15;Boyacá;15204;Cómbita;154,68;14183;85,9;Región Centro Oriente
15;Boyacá;15212;Coper;159,29;3881;71,4;Región Centro Oriente
15;Boyacá;15215;Corrales;62,43;2698;35,6;Región Centro Oriente
15;Boyacá;15218;Covarachía;105,84;2967;77,9;Región Centro Oriente
15;Boyacá;15223;Cubará;1259,12;11392;75,1;Región Centro Oriente
15;Boyacá;15224;Cucaita;45,29;4047;56,9;Región Centro Oriente
15;Boyacá;15226;Cuítiva;48,45;1944;82,3;Región Centro Oriente
15;Boyacá;15232;Chíquiza;126,49;5061;88,9;Región Centro Oriente
15;Boyacá;15236;Chivor;106,96;2698;69,9;Región Centro Oriente
15;Boyacá;15238;Duitama;226,56;134091;10,7;Región Centro Oriente
15;Boyacá;15244;El cocuy;219,58;4477;43,8;Región Centro Oriente
15;Boyacá;15248;El espino;73,27;3269;52,4;Región Centro Oriente
15;Boyacá;15272;Firavitoba;117,51;7261;59,8;Región Centro Oriente
15;Boyacá;15276;Floresta;90,08;3493;60;Región Centro Oriente
15;Boyacá;15293;Gachantivá;83,69;3009;75,6;Región Centro Oriente
15;Boyacá;15296;Gameza;133,39;5203;69,5;Región Centro Oriente
15;Boyacá;15299;Garagoa;205,56;19582;28,2;Región Centro Oriente
15;Boyacá;15317;Guacamayas;60,45;1983;62,9;Región Centro Oriente
15;Boyacá;15322;Guateque;39,47;11631;27,2;Región Centro Oriente
15;Boyacá;15325;Guayatá;91,39;3579;63,2;Región Centro Oriente
15;Boyacá;15332;Gí¼icán;871,38;4570;65,5;Región Centro Oriente
15;Boyacá;15362;Iza;36,7;2125;37,6;Región Centro Oriente
15;Boyacá;15367;Jenesano;63,83;7829;72,2;Región Centro Oriente
15;Boyacá;15368;Jericó;143,4;4208;64,7;Región Centro Oriente
15;Boyacá;15377;Labranzagrande;632,03;3755;63,1;Región Centro Oriente
15;Boyacá;15380;La capilla;59,61;2882;58,3;Región Centro Oriente
15;Boyacá;15401;La victoria;29,05;1202;58,9;Región Centro Oriente
15;Boyacá;15403;La uvita;153,36;3246;51,8;Región Centro Oriente
15;Boyacá;15407;Villa de leyva;134,46;17787;48,1;Región Centro Oriente
15;Boyacá;15425;Macanal;219,03;5396;73,1;Región Centro Oriente
15;Boyacá;15442;Maripí;154,4;6147;82,4;Región Centro Oriente
15;Boyacá;15455;Miraflores;280,3;9575;36,9;Región Centro Oriente
15;Boyacá;15464;Mongua;386,21;4980;54;Región Centro Oriente
15;Boyacá;15466;Monguí;72,01;4527;44,1;Región Centro Oriente
15;Boyacá;15469;Moniquirá;211,52;24596;45,4;Región Centro Oriente
15;Boyacá;15476;Motavita;62,38;6072;81,9;Región Centro Oriente
15;Boyacá;15480;Muzo;128,45;9186;32;Región Centro Oriente
15;Boyacá;15491;Nobsa;57,46;17500;64,6;Región Centro Oriente
15;Boyacá;15494;Nuevo colón;49,53;5538;76,5;Región Centro Oriente
15;Boyacá;15500;Oicatá;61,26;3085;81,5;Región Centro Oriente
15;Boyacá;15507;Otanche;439,64;8699;52,4;Región Centro Oriente
15;Boyacá;15511;Pachavita;66,96;2637;74,6;Región Centro Oriente
15;Boyacá;15514;Páez;318,66;3499;54,1;Región Centro Oriente
15;Boyacá;15516;Paipa;326,88;36778;36,7;Región Centro Oriente
15;Boyacá;15518;Pajarito;302,54;2560;55,9;Región Centro Oriente
15;Boyacá;15522;Panqueba;36,53;1845;48,3;Región Centro Oriente
15;Boyacá;15531;Pauna;259,61;7689;67;Región Centro Oriente
15;Boyacá;15533;Paya;427,15;2812;75,5;Región Centro Oriente
15;Boyacá;15537;Paz de río;113,45;4560;32,8;Región Centro Oriente
15;Boyacá;15542;Pesca;246,01;7256;63,5;Región Centro Oriente
15;Boyacá;15550;Pisba;509,91;1899;64,9;Región Centro Oriente
15;Boyacá;15572;Puerto boyacá;1645,67;51143;26,9;Región Centro Oriente
15;Boyacá;15580;Quípama;170,53;5308;69,2;Región Centro Oriente
15;Boyacá;15599;Ramiriquí;132,12;10743;55,4;Región Centro Oriente
15;Boyacá;15600;Ráquira;225,44;8618;65,1;Región Centro Oriente
15;Boyacá;15621;Rondón;221,36;2564;70,4;Región Centro Oriente
15;Boyacá;15632;Saboyá;255,19;14765;88,8;Región Centro Oriente
15;Boyacá;15638;Sáchica;69,7;5989;49,6;Región Centro Oriente
15;Boyacá;15646;Samacá;150,98;20038;56,9;Región Centro Oriente
15;Boyacá;15660;San eduardo;117,15;1793;51,3;Región Centro Oriente
15;Boyacá;15664;San josé de pare;75,77;5380;76;Región Centro Oriente
15;Boyacá;15667;San luis de gaceno;460,96;5919;52,5;Región Centro Oriente
15;Boyacá;15673;San mateo;112,39;3606;59,8;Región Centro Oriente
15;Boyacá;15676;San miguel de sema;93,68;3228;82,7;Región Centro Oriente
15;Boyacá;15681;San pablo de borbur;184,59;7166;84,6;Región Centro Oriente
15;Boyacá;15686;Santana;67,47;8230;62,9;Región Centro Oriente
15;Boyacá;15690;Santa maría;283,95;3767;38,8;Región Centro Oriente
15;Boyacá;15693;Santa rosa de viterbo;112,86;14257;37,1;Región Centro Oriente
15;Boyacá;15696;Santa sofía;78,98;3442;64,4;Región Centro Oriente
15;Boyacá;15720;Sativanorte;171,95;2347;65;Región Centro Oriente
15;Boyacá;15723;Sativasur;53,87;1177;69;Región Centro Oriente
15;Boyacá;15740;Siachoque;110,74;7275;79,7;Región Centro Oriente
15;Boyacá;15753;Soatá;124,77;9597;26,1;Región Centro Oriente
15;Boyacá;15755;Socotá;650,42;7770;76,1;Región Centro Oriente
15;Boyacá;15757;Socha;152,67;8592;43,8;Región Centro Oriente
15;Boyacá;15759;Sogamoso;202,76;139021;10,8;Región Centro Oriente
15;Boyacá;15761;Somondoco;61,64;3096;73,4;Región Centro Oriente
15;Boyacá;15762;Sora;46,81;3292;80,3;Región Centro Oriente
15;Boyacá;15763;Sotaquirá;267,26;8876;85,2;Región Centro Oriente
15;Boyacá;15764;Soracá;58,23;6481;70,6;Región Centro Oriente
15;Boyacá;15774;Susacón;183,55;2882;73,9;Región Centro Oriente
15;Boyacá;15776;Sutamarchán;94,24;6648;60,7;Región Centro Oriente
15;Boyacá;15778;Sutatenza;38,02;4575;78,5;Región Centro Oriente
15;Boyacá;15790;Tasco;221,28;6289;68,4;Región Centro Oriente
15;Boyacá;15798;Tenza;47,05;4143;66,8;Región Centro Oriente
15;Boyacá;15804;Tibaná;133,52;9781;77;Región Centro Oriente
15;Boyacá;15806;Tibasosa;89,05;14184;63,8;Región Centro Oriente
15;Boyacá;15808;Tinjacá;86,41;3563;73,1;Región Centro Oriente
15;Boyacá;15810;Tipacoque;73,78;3548;68,2;Región Centro Oriente
15;Boyacá;15814;Toca;180,67;9540;48,1;Región Centro Oriente
15;Boyacá;15816;Togí¼í;98,34;4659;81,9;Región Centro Oriente
15;Boyacá;15820;Tópaga;33,95;3906;67,3;Región Centro Oriente
15;Boyacá;15822;Tota;203,99;5627;79,5;Región Centro Oriente
15;Boyacá;15832;Tununguá;26,85;1645;79,2;Región Centro Oriente
